Air flow(TPH),Airflow 2(TPH),water flow,stoker speed,Temperature (oc),pressure(ps),Drum level(%)
69.23,50.8163,128.571,575.51,500.992,64.5455,50.1625
73.076,50.5102,127.041,576.1245,501.818,64.5455,50.4923
73.45,50.2041,127.041,577.041,501.818,64.7107,50.6567
73.84,49.898,127.041,578.571,501.818,64.7107,49.6641
72.69,49.2857,127.041,580.102,501.818,64.7107,48.6715
71.53,48.6735,127.041,580.102,501.818,64.5455,47.5137
73.08,48.3673,122.449,581.633,502.645,64.5455,46.0252
74.23,47.449,117.857,581.633,502.645,64.876,44.2062
72.69,46.8367,116.327,583.163,502.645,65.2066,42.5524
71.15,45.6122,114.796,583.163,502.645,64.5455,41.064
71.25,43.7755,111.735,583.163,502.645,65.3719,40.2367
71.92,42.551,107.143,584.694,502.645,65.3719,40.5664
72.69,41.6327,102.551,586.224,501.818,65.5372,40.8961
71.78,42.551,97.9592,587.755,501.818,65.7025,41.0606
70.38,43.7755,91.8367,589.286,501.818,65.8678,41.5556
68.46,45,93.3673,589.286,500.992,65.8678,42.5465
66.15,44.0816,99.4898,589.286,500.165,66.0331,43.5374
69.2,42.551,97.9592,589.286,500.165,66.0331,44.5282
73.46,42.551,94.898,587.755,500.165,66.0331,45.3538
76.16,43.7755,91.8367,584.694,500.165,66.0331,46.3447
75.76,45,88.7755,581.633,499.339,66.1983,47.1703
75,45.9184,91.8367,581.633,499.339,66.3636,47.9959
74.61,46.8367,96.4286,581.633,499.339,66.3636,48.6562
75.7,47.7551,107.143,580.102,499.339,66.3636,49.1512
77.3,48.3673,111.735,578.571,499.339,66.3636,49.6463
78.07,47.449,116.327,577.041,499.339,66.5289,50.3066
76.53,46.8367,119.388,575.51,499.339,66.5289,48.9834
75,47.1429,88.7755,570.918,499.339,66.6942,46.8338
76.8,47.449,73.4694,566.327,499.339,66.8595,46.0065
79.23,47.449,62.7551,564.796,499.339,66.8595,45.5098
80.38,47.1429,47.449,564.796,499.339,66.3636,46.3354
81.15,46.5306,36.7347,566.327,499.339,66.1983,46.987
78.1,46.5306,33.6735,566.327,499.339,66.0331,47.023
75.66,44.6939,35.2041,567.857,498.512,66.0331,47.125
74.23,43.7755,35.2041,568.0157,498.512,65.8678,47.369
73.46,43.1633,39.7959,568.023,497.686,65.7025,48.9766
74.61,42.551,67.3469,569.388,496.86,65.5372,51.6204
75.4,42.2449,79.5918,569.388,498.512,65.3719,50.2972
74.61,41.6327,87.2449,569.388,499.339,65.2066,48.8088
70.38,41.3265,91.8367,570.918,497.686,65.0413,48.1468
65.7,40.7143,94.898,570.918,497.686,65.0413,48.4765
62.3,40.102,94.898,570.918,497.686,64.876,49.798
66.2,39.7959,96.4286,570.918,497.686,64.876,51.1194
69.6,39.1837,96.4286,572.449,496.86,64.876,51.2839
70,39.4898,97.9592,572.449,496.86,64.7107,51.1177
70.12,40.102,97.9592,572.856,496.033,64.5455,49.9598
69.612,40.7143,97.9592,573.12,495.207,64.7107,49.1326
70.3846,41.3265,99.4898,573.98,494.38,64.876,50.1234
71.5385,41.9388,99.4898,573.98,495.207,65.0413,50.2879
70.39,43.1633,99.4898,573.98,496.86,64.7107,48.7994
68.08,44.0816,99.4898,573.98,497.686,64.3802,47.8068
68.46,45,97.9592,573.98,498.512,64.2149,47.806
70,45.9184,97.9592,573.98,499.339,64.0496,47.9704
71.15,46.5306,97.9592,573.98,499.339,64.2149,48.4654
71.92,47.449,97.9592,573.98,500.165,64.3802,49.6216
70.76,48.6735,97.9592,575.51,500.165,64.2149,51.2737
69.7,49.2857,99.4898,575.51,499.339,63.8843,52.4298
68.84,49.5918,99.4898,577.041,498.512,63.719,52.9249
69.62,50.2041,99.4898,577.041,498.512,63.8843,52.5934
70,50.2041,99.4898,577.041,497.686,64.0496,51.9314
69.62,50.2041,101.02,577.041,498.512,64.2149,50.9388
69.84,50.5102,101.02,577.041,499.339,64.3802,49.6157
70.12,51.1224,101.02,578.571,499.339,64.7107,48.6231
71.15,52.0408,102.551,578.571,500.165,64.876,47.9611
72.307,52.6531,102.551,580.102,500.992,65.0413,48.6214
71.923,53.5714,101.02,580.102,500.992,64.876,49.447
64.61,54.4898,101.02,578.571,501.818,64.7107,52.5866
58.84,54.7959,99.4898,578.571,501.818,64.5455,55.2306
56.16,53.5714,99.4898,578.571,500.992,64.5455,57.048
70.38,52.3469,99.4898,578.571,500.165,64.7107,57.543
72.69,50.5102,99.4898,578.571,501.818,64.876,56.7157
